"","year","country","region","Seasonal extremes","National GHG inventories","Federal energy programs","Financial instruments","Coastal impacts","Regional mitigation planning","Hydrological scenarios","Global mitigation governance","Power and fuel efficiency","Financial programs","Concepts","Interventions and innovations","Tropical human health impacts","Kyoto implementation","Research and observations","Arid lands","Adaptive capacity","GHG reporting","Coastal tourism impacts","Macroeconomics","Forest management and programs","Green growth strategy","Transportation energy","Rio programs","Livelihoods","Rural responses","Agroforestry","Chemicals and GHGs","Oceans","Transportation","Shipping","Tracking climate change","Fossil fuel consumption"
"1",2012,"AGO","afri",0.00190511818497155,0.0433838709640729,0.000275509866794309,0.000355170256085336,0.00275056374905605,0.00285010973665748,0.00405461437617941,0.000562016043204629,0.00476745330165432,0.00911589328549257,0.00367692292733115,0.0198734329707615,0.0267125492568552,0.000977694672586769,0.00126656419075995,0.00546025931552019,0.100439301831469,0.000778394305049809,0.0453110654992707,0.00357430190661723,0.259521389925438,0.000366141107570653,0.000129556449573287,0.141578552161696,0.0135486388453082,0.174680760299938,0.0495947728067306,0.00349219193889594,0.02259853082686,0.0374799827108233,0.000114774009125045,0.0133077009931801,0.00549620128447087
"2",2001,"BDI","afri",0.00214628742313586,0.00854297498390721,0.000216239805174213,0.00056116808841611,0.000711170299294455,0.00333038553416189,0.0148448285450637,0.000171506643762834,0.0671864765492765,0.000827762184028222,0.016436977492566,0.000331076662516151,0.089104983118341,0.000129006797371399,0.00171669016250339,0.00543672435789785,0.00272350049145518,0.000594822680817258,0.0028064595763988,0.00837748564808577,0.00660556457764572,0.000199991684015349,0.000856372349052514,0.0101818382839474,0.0997638713867532,0.554465118184216,0.0537519324949876,0.0251348218889413,0.00203452437383491,0.0102526824710955,4.05431607709185e-05,0.00320507476149946,0.00731113733906581
"3",2010,"BDI","afri",0.00118605427866944,0.0200029271170387,0.000132493530829197,0.000370475159089568,0.000513882555920469,0.00133898747427869,0.0609047086121973,8.64114627957562e-05,0.0207914810747813,0.000589307653559989,0.103302699180719,0.000329586151658549,0.0156193872735145,0.000563204763357797,0.0027064100223366,0.0142820736381228,0.00172857891327684,0.00134007799731418,0.00345820242658846,0.00355714125911875,0.00376291634564608,0.00021059978385709,0.000662558533658201,0.00564210734347223,0.0937813404066459,0.544946907480892,0.0350624859748729,0.0387411451726944,0.00151203143040737,0.010324271662881,8.4282605970412e-05,0.00762605681090737,0.00483920590292824
"4",2019,"BDI","afri",0.00141251537502673,0.0047902182552196,8.60525539924004e-05,0.000228591355495214,0.00131562689174936,0.00146166327007458,0.00387388242823352,0.000154372491610556,0.117480862806859,0.000759388514739377,0.111821973053299,0.00174297320980352,0.0102225343381823,7.82069625577916e-05,0.00308818014174896,0.00138307745849718,0.00659362971852668,0.000763518042567205,0.00632704936505621,0.000391761981383689,0.0763267967233837,0.000102939722383399,0.000278457961929507,0.00306803850032457,0.171490663079969,0.361940098572454,0.0874537312032219,0.002959764871088,0.00141666111767975,0.0165187870212735,2.81362184042196e-05,0.00177920885590763,0.00266063793735766
"5",2001,"BEN","afri",0.0139790662748443,0.00668173383958425,0.00591108652066744,0.000378114794277064,0.00247497851589331,0.0147391569689201,0.058304751218769,0.000201761613516754,0.00158765349951953,0.00265886778579047,0.00103196495136901,0.00127975708720194,0.0893056847629419,0.000993702610334655,0.00136815448620402,0.273110716655217,0.0111598867197352,0.00343604335362575,0.0536898086216745,0.0615085337458439,0.00225506790047499,0.00047408816310338,0.000433429637468097,0.0426079416167848,0.00145683929785197,0.258138847126033,0.00347290768891202,0.00910449951638226,0.0533884854338675,0.0163258026569637,0.000302854518802672,0.0059848855778695,0.00225292683955637
"6",2011,"BEN","afri",0.000352174119177928,0.0317676242616737,0.000169650820174108,4.39112725149471e-06,0.00213038758117249,0.000371800213201052,0.0202269933834187,0.000235325333107762,0.00169300450103181,0.00107302293023012,0.261522149397435,0.000541497459627968,0.0799530389765329,7.15768591537796e-05,0.00227930912398944,0.0147154591249863,0.00324295352082274,0.0077817863499821,0.138032663054874,0.000425776928261292,0.0166889072746416,0.0771053756209911,1.4352289327606e-05,0.00385537191152637,0.112290038295373,0.204269235225267,0.00330643516504604,0.00341674231050572,0.00320253277692905,0.00312291784641868,3.99835295383519e-05,0.00551508369799847,0.000582438990332486
"7",2019,"BEN","afri",0.000450849740699333,0.0151724901831344,4.8674317213963e-05,0.000320999364477919,0.00179937946888007,0.00179839078672059,0.00162135633100139,0.000296136244715676,0.00655884246002382,0.000543015905852898,0.289169741414954,0.0938858362625434,0.00117810490891052,0.00177208495962672,0.00108842499593582,0.00567990069171851,0.0547334270335555,0.00576071520154304,0.0789466506740425,0.000871754125919038,0.0135346225661713,0.000109524993197072,0.000683341345126385,0.0015421268959903,0.0309397252517352,0.311519193730548,0.0383767235639612,0.00183267408692311,0.0300620756853696,0.00227305616633929,0.000119842625682245,0.00304110065972637,0.00426921735776017
"8",2001,"BFA","afri",0.000817822742728567,0.00538038033679702,0.00015953049838143,0.0011060777366898,0.000200009360325133,0.00238131547862586,0.000853098314136576,0.000457433068765437,0.0508320841503222,0.00251069771442257,0.00878929873606659,0.00071564711381698,0.0132634374683494,0.000136980873921881,0.000384409135278358,0.00253187928945715,0.0075609285622869,0.000318678803398138,0.00124551618803297,0.0767812458906137,0.0176995136600379,6.6481968716316e-05,0.000486470456756389,0.0863458481763,0.00496289283170883,0.547659663890172,0.0313937364284936,0.079214260837084,0.00930821855368357,0.00218613125484876,4.60390635845387e-05,0.00247198022112731,0.0417322911950698
"9",2014,"BFA","afri",0.000445792285853576,0.00383297558636454,6.45073023000735e-05,0.000311074522833403,0.000838712301179235,0.000961412348144842,0.00368945595675383,6.52158547192624e-05,0.00711435744843653,0.000341239658872202,0.0499797293974454,4.20057715339376e-05,0.0765492657428129,5.59341511483573e-05,0.000919242847711069,0.0118403411617054,0.000975117791562356,0.000587711636157228,0.00265786621825887,0.00218437865460247,0.00199374259497883,0.000208735439782036,0.000280913789372111,0.00460573594778935,0.10049055508611,0.503451750072606,0.0993076364594104,0.1140292257855,0.0014721462949622,0.00182195010514942,1.93168702872323e-05,0.0016311077450915,0.00723084717056634
"10",2001,"BWA","afri",0.00300306341837259,0.0103504614298659,0.00131462533701133,0.0116490136288762,0.00333625337595229,0.0352382530847086,0.0021169507970519,0.0182045956167491,0.0097118145887268,0.00457458681756591,0.00152312318018843,0.00453906719665166,0.0133980554083339,0.00111006865840415,0.0307025278243084,0.00500448019310483,0.188436900788071,0.000759966922628555,0.00318210197198247,0.00386502624203943,0.000799829499867618,0.00247032505203367,0.000572456544536215,0.111050201367949,0.288399778484334,0.00427966885700581,0.0114349815459088,0.209472628942375,0.00577608097775819,0.004604257361854,0.0016390384768726,0.000640596015702009,0.00683922039321021
